,ticker,date,content,time_delta,pct_change,sentiment
0,AMD,"March 26, 2020","                BRIEF-Advanced Micro Devices - CEO's FY 2019 Total Compensation Was $58.5 Mln - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia HealthcareMarch 26, 2020 /  9:52 PM / 4 months agoBRIEF-Advanced Micro Devices - CEO's FY 2019 Total Compensation Was $58.5 Mln1 Min ReadMarch 26 (Reuters) - Advanced Micro Devices Inc: * ADVANCED MICRO DEVICES SAYS CEO LISA SU’S FY 2019 TOTAL COMPENSATION WAS $58.5 MILLION, INCLUDING STOCK AWARDS OF ABOUT $53.2 MILLION - SEC FILING * ADVANCED MICRO DEVICES SAYS FOR 2019, CEO PAY RATIO WAS 172 TO 1 Source text: (bit.ly/3bu7STu) Further company coverage:Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",25,19.936844675164473,0.103
0,AMD,"July 3, 2017","                BRIEF-Advanced Micro Devices says on June 30, board voted to increase size of board from eight directors to nine directors - SEC Filing - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Regulatory NewsJuly 3, 2017 /  12:48 PM / 3 years agoBRIEF-Advanced Micro Devices says on June 30, board voted to increase size of board from eight directors to nine directors - SEC Filing1 Min ReadJuly 3 (Reuters) - Advanced Micro Devices Inc * Advanced Micro Devices Inc - On June 30, board voted to increase size of board from eight directors to nine directors - SEC Filing Source text: [bit.ly/2tDNay2] Further company coverage:Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",23,4.606666109286484,0.097
0,AMD,"June 19, 2015","                Exclusive - Advanced Micro Devices mulling breakup, spinoff: sources - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Technology NewsJune 19, 2015 /  11:09 PM / 5 years agoExclusive - Advanced Micro Devices mulling breakup, spinoff: sourcesLiana B. Baker3 Min Read(Reuters) - Chipmaker Advanced Micro Devices AMD.N is at the initial stage of reviewing whether to split itself in two or spin off a business, seeking to reverse its fortunes and take on rival Intel Corp (INTC.O), according to three people familiar with the matter. A man looks at motherboards displayed at the AMD booth during the Computex 2011 computer fair at the TWTC Nangang exhibition hall in Taipei May 31, 2011. REUTERS/Pichi Chuang The deliberations are preliminary and no decision has been made, the people said. The review highlights Chief Executive Lisa Su’s determination to consider every possible option to turn the company around. AMD has asked a consulting firm to help it review its options and draw up scenarios on how a break-up or spin-off would work, the people said this week, asking not to be identified because the deliberations are confidential. One option under consideration is separating AMD’s graphics and licensing business from its server business, which sells processors that power data centers, one of the people said.  AMD had explored such a move in the past and decided against it, the people said. Su, however, who took over as CEO last October, judged that there is merit for the company to at least consider such a possibility again, the people added. There is no certainty that a split or spin-off will occur, the people cautioned. A spokeswoman for AMD declined to comment.  AMD, which has a market capitalization of around $2 billion, has competed with much larger Intel since the 1980s, and at times has made inroads with its PC and server chips. AMD has an extensive cross-licensing agreement with Intel, an issue AMD would have to study carefully in the case of a break-up. In the last few years, AMD has been caught somewhat flat-footed by new competitors designing low-cost and power-efficient chips. AMD shares have fallen 40 percent over the last 12 months. The Sunnyvale, California-based company, which said in October it would cut 7 percent of its workforce, is now shifting its focus to gaming consoles and low-power servers to combat falling laptop sales. While large rivals such as Intel have deeper pockets to fund research on new products, AMD faces declining cash flows and has a more modest balance sheet. AMD’s net loss widened to $180 million, or 23 cents per share, in the quarter that ended March 28, from $20 million, or 3 cents per share, a year earlier. It also missed on revenue expectations. It is forecasting a return to profitability in the second half of the year. Reporting by Liana B. Baker in New York; Editing by Leslie AdlerOur Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",3,1.5503861641813224,0.071
0,AMD,"June 20, 2015","                Exclusive: Advanced Micro Devices mulling breakup, spinoff: sources - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Deals - AmericasJune 20, 2015 /  12:24 AM / 5 years agoExclusive: Advanced Micro Devices mulling breakup, spinoff: sourcesLiana B. Baker3 Min Read(Reuters) - Chipmaker Advanced Micro Devices Inc is at the initial stage of reviewing whether to split itself in two or spin off a business, seeking to reverse its fortunes and take on rival Intel Corp, according to three people familiar with the matter. An AMD Opteron 6000 series processor is seen on a motherboard during a product launch in Taipei April 14, 2010.  REUTERS/Pichi Chuang The deliberations are preliminary and no decision has been made, the people said. The review highlights Chief Executive Lisa Su’s determination to consider every possible option to turn the company around. AMD, based in Sunnyvale, California, has asked a consulting firm to help it review its options and draw up scenarios on how a break-up or spin-off would work, the people said this week, asking not to be identified because the deliberations are confidential. One option under consideration is separating AMD’s graphics and licensing business from its server business, which sells processors that power data centers, one of the people said.  AMD had explored such a move in the past and decided against it, the people said. Su, however, who took over as CEO last October, judged that there is merit for the company to at least consider such a possibility again, the people added. There is no certainty that a split or spin-off will occur, the people cautioned. An AMD spokeswoman said no such project was in the works at this time and reiterated the company’s commitment to the long-term strategy it laid out in May at its analyst meeting. AMD, which has a market capitalization of around $2 billion, has competed with much larger Intel since the 1980s, and at times has made inroads with its PC and server chips. AMD has an extensive cross-licensing agreement with Intel, an issue AMD would have to study carefully in the case of a break-up. In the last few years, AMD has been caught somewhat flat-footed by new competitors designing low-cost and power-efficient chips. AMD shares have fallen 40 percent over the last 12 months. The company, which said in October it would cut 7 percent of its workforce, is now shifting its focus to gaming consoles and low-power servers to combat falling laptop sales. While large rivals such as Intel have deeper pockets to fund research on new products, AMD faces declining cash flows and has a more modest balance sheet. AMD’s net loss widened to $180 million, or 23 cents per share, in the quarter that ended March 28, from $20 million, or 3 cents per share, a year earlier. It also missed on revenue expectations. It is forecasting a return to profitability in the second half of the year. Reporting by Liana B. Baker in New York; Editing by Leslie AdlerOur Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",2,1.5503861641813224,0.069
0,AMD,"June 19, 2015","                Exclusive: Advanced Micro Devices mulling breakup, spinoff - sources - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Deals - AmericasJune 19, 2015 /  11:09 PM / 5 years agoExclusive: Advanced Micro Devices mulling breakup, spinoff - sourcesLiana B. Baker3 Min Read(Reuters) - Chipmaker Advanced Micro Devices is at the initial stage of reviewing whether to split itself in two or spin off a business, seeking to reverse its fortunes and take on rival Intel Corp, according to three people familiar with the matter. An AMD Opteron 6000 series processor is seen on a motherboard during a product launch in Taipei April 14, 2010.  REUTERS/Pichi Chuang The deliberations are preliminary and no decision has been made, the people said. The review highlights Chief Executive Lisa Su’s determination to consider every possible option to turn the company around. AMD has asked a consulting firm to help it review its options and draw up scenarios on how a break-up or spin-off would work, the people said this week, asking not to be identified because the deliberations are confidential. One option under consideration is separating AMD’s graphics and licensing business from its server business, which sells processors that power data centers, one of the people said.  AMD had explored such a move in the past and decided against it, the people said. Su, however, who took over as CEO last October, judged that there is merit for the company to at least consider such a possibility again, the people added. There is no certainty that a split or spin-off will occur, the people cautioned. A spokeswoman for AMD declined to comment.  AMD, which has a market capitalization of around $2 billion, has competed with much larger Intel since the 1980s, and at times has made inroads with its PC and server chips. AMD has an extensive cross-licensing agreement with Intel, an issue AMD would have to study carefully in the case of a break-up. In the last few years, AMD has been caught somewhat flat-footed by new competitors designing low-cost and power-efficient chips. AMD shares have fallen 40 percent over the last 12 months. The Sunnyvale, California-based company, which said in October it would cut 7 percent of its workforce, is now shifting its focus to gaming consoles and low-power servers to combat falling laptop sales. While large rivals such as Intel have deeper pockets to fund research on new products, AMD faces declining cash flows and has a more modest balance sheet. AMD’s net loss widened to $180 million, or 23 cents per share, in the quarter that ended March 28, from $20 million, or 3 cents per share, a year earlier. It also missed on revenue expectations. It is forecasting a return to profitability in the second half of the year. (This story has been refiled to fix word syntax in seventh paragraph) Reporting by Liana B. Baker in New York; Editing by Leslie AdlerOur Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",3,1.5503861641813224,0.066
0,AMD,"April 25, 2012","                TEXT-S&P raises Advanced Micro Devices rating to 'BB-' - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Regulatory NewsApril 25, 2012 /  3:57 PM / 8 years agoTEXT-S&P raises Advanced Micro Devices rating to 'BB-'9 Min ReadOverview	     -- U.S. Advanced Micro Devices (AMD) announced in February 2012 itsplans to de-lever through repayment of $485 million notes due August 2012.	     -- AMD recently amended its wafer supply agreement with foundry partner 	GLOBALFOUNDRIES in March 2012 and as a result, AMD may source 28 nanometer 	wafers from alternate suppliers, to the potential benefit of its revenues and 	operating profitability.	     -- We are raising our corporate credit and senior unsecured issue ratings 	on AMD to 'BB-' from 'B+', removing the ratings from CreditWatch Positive.	     -- The stable outlook reflects our expectation that AMD's financial 	profile will offset ongoing and considerable business risk.   		Rating Action	On April 25, 2012, Standard & Poor's Rating Services raised its corporate 	credit and senior unsecured issue ratings on Sunnyvale, Calif.-based Advanced 	Micro Devices Inc. (AMD) to 'BB-' from 'B+'. At the same time, we removed the 	ratings from CreditWatch, where they were placed with positive implications on 	Jan. 31, 2012. The rating outlook is stable.		The upgrade reflects AMD's improved financial profile, along with an improved 	business risk profile. It also reflects the company's prospects for further 	revenue, earnings, and market share stability, given improved execution of 	wafer supply from GLOBALFOUNDRIES (GF), recent contractual amendments with GF, 	and AMD's commitment to ample product development spending. 		AMD maintains a simple capital structure, composed of a modest amount of 	capital leases (about $30 million outstanding at March 31, 2012) and about 	$2.1 billion of senior unsecured notes, due between 2012 and 2020, including 	two senior unsecured convertible note tranches. We rate AMD's senior unsecured 	notes at 'BB-' (the same as the corporate credit rating) with a recovery 	rating of '3', indicating average (30%-50%) of recovery in the event of a 	payment default. 		Rationale	The 'BB-' corporate credit rating on AMD reflects the company's ""weak"" 	business risk profile, characterized by intense competition from Intel Corp. 	and the threat of competition from ARM-based (a type of computing instruction 	set) competitors, partly offset by AMD's ""significant"" financial risk profile, 	with considerable support provided by its lightly leveraged balance sheet and 	""adequate"" liquidity. Our assessment of the company's business risk profile 	also incorporates AMD's commitment to R&D spending, which we expect will 	continue to represent about 22% of revenue.		We expect smartphone and computing tablet growth will reduce demand for 	x86-based (a family of computing instruction set architectures) computing and 	will support cloud-based server demand. We expect x86-based and server demand 	will provide AMD an opportunity to achieve further revenue and profit growth. 	We expect that AMD's revenue growth will remain constrained by competition 	from Intel, given Intel's ""strong"" business risk profile. With about $6.5 	billion revenues and $930 million EBITDA for the latest 12 months ended March 	31, 2012, AMD possesses a relatively modest x86 unit and revenue market share 	relative to Intel, which has much larger share (about 95% unit share) in 	server markets, as well as 85% unit share in notebook markets, and over 75% 	unit share in desktop markets, as measured by IDC. 		AMD faces challenges as well by ARM-based competitors, which are currently 	designing products for fast-growing tablet and smartphone markets. We expect 	tablet markets will grow to represent in excess of 25% of collective PC and 	tablet units worldwide over the next several years and will constrain, but not 	eliminate, AMD's prospects for revenue and profit growth.		We have revised our business risk profile for AMD to weak from ""vulnerable,"" 	reflecting our anticipation of further profit stability and growth due to the 	company's recent wafer amendment with GF, which provides AMD with greater 	flexibility to source wafers from Taiwan Semiconductor Manufacturing Co. Ltd 	(TSMC), if needed. AMD's EBITDA margins have stabilized over the past several 	years at about 15%, following the company's divestiture of its manufacturing 	assets to GF. We expect AMD's R&D spending will continue to represent about 	22% of revenues in the future, given the brevity of industry product 	lifecycles and intense competition.		We have revised our financial risk profile for AMD to significant from 	""aggressive,"" reflecting the company's improving financial metrics, including 	debt to EBITDA of about 2.3x as of March 31, 2012, adjusted for operating 	leases and stock compensation, as well as strong free cash flow in excess of 	about $400 million annually since September 2011. We expect AMD's financial 	leverage will decline to about 1.9x after the anticipated debt reduction later 	in 2012. Although the company's financial metrics currently appear stronger 	than indicated by our financial risk assessment, its relatively short track 	record at current levels and execution risks in highly competitive markets 	drive its weak financial risk profile. 		Considering AMD's outsourced manufacturing business model, we expect that 	capital expenditures will continue to represent only about 4% of revenues and 	free cash flow will amount to about $500 million annually. 		Liquidity	AMD maintains adequate liquidity from internal sources. The company currently 	has no plans to obtain a revolving credit facility. Cash and marketable 	securities amounted to $1.7 billion at March 31, 2012, down about $200 million 	from about $1.9 billion at Dec. 31, 2011, due primarily to about $293 million 	cash spent to acquire SeaMicro, a server provider to cloud-based computing 	markets, in the March quarter. We expect that AMD, given its liquidity 	profile, will be able to fund remaining nonrecurring amendment payments to GF 	(about $275 million through the March quarter of 2013), repay its August 2012 	notes' maturity ($485 million), and maintain cash above its minimum target of 	$1.5 billion.		Our assessment of AMD's liquidity profile incorporates the following 	expectations, assumptions, and factors:	     -- We expect coverage of uses to be in excess of 1.2x for the next 12 to 	24 months.	     -- We believe that net sources would be positive in the near term, even 	with a 15% to 20% decline in EBITDA.	     -- Debt maturities are well paced, with maturities of less than $600 	million in any one year and spread through 2020. AMD plans to limit debt 	maturities to no more than $500 million per year as part of its long-term 	capital structure goal. 		Recovery analysis	For the complete recovery analysis, please see our recovery report on AMD, to 	be published separately on RatingsDirect.		Outlook	The outlook is stable. We expect AMD's financial profile to offset ongoing and 	considerable business risk. A rating downgrade could result from a number of 	developments, including sharply lower demand, erosion of market share, or 	weaker manufacturing execution. Any of these scenarios could weaken the 	financial profile that supports the rating. Specifically, we would consider a 	lower rating if liquidity fell below $1 billion or if leverage was on a 	trajectory to exceed 3x. 		We would consider a higher rating once AMD builds a track record of stable to 	growing market share and earnings have been well established, leading us to 	conclude the leverage could remain over time at or below 2x. Given AMD's 	competitive and cyclical operating environment, an upgrade is unlikely over at 	least the next 12 to 18 months.		Related Criteria And Research	     -- Global Technology Ratings Trend Shifts To Negative In The First 	Quarter, April 11, 2012	     -- Issuer Ranking: Global Technology Ratings, Strongest To Weakest, March 	29, 2012	     -- U.S. Technology Companies' Liquidity Is Higher, For Now, Jan. 18, 2012	     -- Reshuffling The Debt: Global High-Tech M&A Activity Accelerates, Oct. 	13, 2011	     -- Liquidity Descriptors For Global Corporate Issuers, Sept. 28, 2011	     -- Key Credit Factors: Methodology And Assumptions On Risks In The Global 	High Technology Industry, Oct. 15, 2009	     -- Criteria Methodology: Business Risk/Financial Risk Matrix Expanded, 	May 27, 2009	     -- 2008 Corporate Criteria: Analytical Methodology, April 15, 2008		Ratings List		Upgraded; And Off CreditWatch	                                        To                 From	Advanced Micro Devices Inc.	 Corporate Credit Rating                BB-/Stable/--      B+/Watch Pos/--	 Senior Unsecured                       BB-                B+/Watch Pos	   Recovery Rating                      3                  3Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",7,3.2476353490038328,0.121
0,AMD,"January 30, 2013","                TEXT - Fitch cuts Advanced Micro Devices issuer default rating - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Regulatory NewsJanuary 30, 2013 /  7:48 PM / 8 years agoTEXT - Fitch cuts Advanced Micro Devices issuer default rating6 Min ReadJan 30 - Fitch Ratings has downgraded the following ratings for AdvancedMicro Devices Inc.'s (NYSE: AMD):--Long-term IDR to 'CCC' from 'B';--Senior unsecured debt to 'CCC/RR4' from 'B/RR4'. Fitch's actions affect approximately $2.1 billion of total debt.The ratings reflect Fitch's expectations that negative free cash flow (FCF) in 2013 will drive cash below AMD's target level and potentially approach the company's minimum operating level. Beyond the near-term, Fitch believes a strongend market recovery and adoption of AMD's new products will be required to preserve cash during the company's multi-year transformation. Fitch expects negative revenue growth in the mid- to high-teens for 2013, drivenby weak consumer spending, robust tablet penetration and lingering excess channel inventory anticipated for the first half of the year. Revenue growth could turn positive in the back half of 2013, assuming strong sales of AMD's newproducts.Negative revenue growth will drive profitability lower in 2013, despite restructuring actions expected to reduce quarterly operating expenses to $450 million by the September 2013 quarter. Fitch expects negative FCF of $250 million to $450 million in 2013 from lower profitability levels and inventory builds related to new product ramps.AMD's cash usage will be amplified by cash payments to GLOBALFOUNDRIES (GF) for amendments to the wafer supply agreement (WSA), including $215 million in fiscal2013 and $200 million at the beginning of fiscal 2014. These cash outflows couldbe partially offset by proceeds from AMD's proposed office building sale-and-leaseback transaction.AMD is planning first half of 2013 launches of system-on-a-chip (SoC) accelerated processors for ultra-low power mobility and tablet products and solid revenue growth in the second of 2013 from ramps of a broad set of design wins. Delays to these launches, the expected market recovery, or product sales ramps would exacerbate Fitch forecasts.Credit protection measures will remain volatile, due to variations in profitability. Fitch estimates total leverage was 4.2x for 2012 but may approach10x in 2013. Fitch estimates interest coverage was 2.8x for 2012 but could fall to 1x in 2013.AMD's transformation targets higher-growth markets, including ultra-low-power mobility, high-density servers and semi-custom embedded products. Given AMD's traditional PC markets represent the vast majority of sales, achieving the company's target of 40%-50% of sales from higher-growth markets will require a number of years.Fitch believes liquidity was sufficient as of Dec. 29, 2012, and consisted of $1.18 billion of cash and cash equivalents, including $181 million of long-term marketable securities. Fitch expects negative FCF of $250 million to $450 million for the current year, pressuring liquidity by the end 2013. The company has a stated target cash level of $1.1 billion and minimum operating cash level of $700 million. Total debt was $2.1 billion at Dec. 29, 2012 and consisted of:--$580 million of 6% senior unsecured convertible notes due 2015;--$500 million of 8.125% senior unsecured notes due 2017;--$500 million of 7.75% senior unsecured notes due 2020;--$500 million of 7.5% senior unsecured notes due 2022; --Approximately $25 million of capital leases.AMD's ratings continue to be supported by: --Low capital intensity as a fabless semiconductor maker, resulting in a stronger FCF profile; --Reduced revenue breakeven profitability, pro forma for the completion of current restructuring initiatives; --The company's role as the only current viable alternative microprocessor supplier to Intel, although Fitch expects new entrants in certain markets over the intermediate term.Fitch's concerns center on:--Limited financial flexibility, given cash usage trends;--AMD's modest share of the overall PC market and limited share in rapidly growing small-form factor mobility products; --High R&D intensity as a fabless semiconductor maker.Further negative rating actions could be taken if the penetration of new APU products is lackluster, resulting in revenue declines and cash usage beyond 2013. Positive rating actions could occur if:--FCF exceeds the upper end of Fitch's base case range; --Strong adoption of new products, portending solid revenue growth and positive FCF in 2014.AMD's Recovery Ratings (RRs) reflect Fitch's belief that the company would be reorganized rather than liquidated in a bankruptcy scenario. This is given Fitch's estimates that AMD's reorganization value of approximately $1 billion exceeds a projected liquidation value of $682 million. To arrive at a reorganization value, Fitch assumes a 4x reorganization multiple and applies it to its estimate of distressed operating EBITDA of $260 million, which covers estimated annual fixed charges, resulting in an adjusted reorganization value of $939 million after subtracting administrative claims. Fitch estimates the approximately $2.1 billion of unsecured claims recover approximately 45%, resulting in an RR of 'RR4'.Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",20,6.4150879908476055,0.103
0,AMD,"May 16, 2013","                BRIEF-Advanced Micro Devices shares off after Goldman Sachs cuts to sell - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Regulatory NewsMay 16, 2013 /  11:25 AM / 7 years agoBRIEF-Advanced Micro Devices shares off after Goldman Sachs cuts to sell1 Min ReadNEW YORK, May 16 (Reuters) - Advanced Micro Devices Inc :  * Shares off 6 percent in premarket trade after Goldman Sachs cuts to sellOur Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",4,7.049607997517956,0.104
0,AMD,"March 6, 2017","                BRIEF-Mubadala Development Company reports 14.8 pct stake in Advanced Micro Devices - SEC filing - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Regulatory NewsMarch 6, 2017 /  4:02 PM / 3 years agoBRIEF-Mubadala Development Company reports 14.8 pct stake in Advanced Micro Devices - SEC filing1 Min ReadMarch 6 (Reuters) - Mubadala Development Company PJSC: * Mubadala Development Company PJSC reports 14.8 percent stake in Advanced Micro Devices Inc as of March 3, 2017  - SEC filing * Mubadala Development Co PJSC previously reported 27.26 percent stake in Advanced Micro Devices Inc as of September 2, 2016 -  SEC filing  Source text: (bit.ly/2metEny) Further company coverage:   (Bengaluru Newsroom: +91 806 749 1136)Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",28,12.269941611582345,0.074
0,AMD,"April 5, 2016","                BRIEF-Advanced Micro Devices announces early availability of 7th generation AMD A-Series processors - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Regulatory NewsApril 5, 2016 /  11:02 AM / 4 years agoBRIEF-Advanced Micro Devices announces early availability of 7th generation AMD A-Series processors1 Min ReadApril 5 (Reuters) - Advanced Micro Devices Inc * Accelerates availability of mobile 7th generation AMD A-Series processors * Announces early availability of its new mobile 7th generation AMD A-Series processors  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",17,44.56521823636075,0.042
