,ticker,date,content,time_delta,pct_change,sentiment
0,AMD,"March 26, 2020","                BRIEF-Advanced Micro Devices - CEO's FY 2019 Total Compensation Was $58.5 Mln - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia HealthcareMarch 26, 2020 /  9:52 PM / 4 months agoBRIEF-Advanced Micro Devices - CEO's FY 2019 Total Compensation Was $58.5 Mln1 Min ReadMarch 26 (Reuters) - Advanced Micro Devices Inc: * ADVANCED MICRO DEVICES SAYS CEO LISA SU’S FY 2019 TOTAL COMPENSATION WAS $58.5 MILLION, INCLUDING STOCK AWARDS OF ABOUT $53.2 MILLION - SEC FILING * ADVANCED MICRO DEVICES SAYS FOR 2019, CEO PAY RATIO WAS 172 TO 1 Source text: (bit.ly/3bu7STu) Further company coverage:Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",25,19.936844675164473,0.103
0,AMD,"August 28, 2017","                BRIEF-Advanced Micro Devices, Baidu enters into collaboration - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Regulatory NewsAugust 28, 2017 /  1:17 PM / 3 years agoBRIEF-Advanced Micro Devices, Baidu enters into collaboration1 Min ReadAug 28 (Reuters) - Advanced Micro Devices Inc * Advanced Micro Devices Inc - ‍AMD and Baidu announced a collaboration focused on optimizing software for amd radeon instinct gpus in baidu datacenters​ Source text for Eikon: Further company coverage:Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",23,12.346690804583002,0.11
0,AMD,"February 3, 2020","                COLUMN-With virus outbreak, China showcases micro drone surveillance: Peter Apps - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Credit RSSFebruary 3, 2020 /  1:37 PM / 6 months agoCOLUMN-With virus outbreak, China showcases micro drone surveillance: Peter AppsPeter Apps7 Min Read(The opinions expressed here are those of the author, a columnist for Reuters.) By Peter Apps LONDON, Feb 3 (Reuters) - Sometime last week, a small group of Chinese residents were sitting outside in the town of Chengdu. A small drone approached them, hovered nearby and began to speak. “Playing mahjong outside is banned during the epidemic,” said a voice from the drone. “You have been spotted. Stop playing and leave the site as soon as possible.” “Don’t look at the drone, child,” it continued. “Ask your father to leave immediately.” For many in the rest of the world, what China’s Global Times described as a “creative use” of drones to tackle its coronavirus outbreak may still sound like a scene from a futuristic dystopia. Those in power in Beijing, however, clearly view it as something to be proud of. The video was shared widely on Chinese social media platforms such as Weibo and showcased in its English-language media for consumption abroad. It was, perhaps, an indicator of two important things. Firstly, not only is China keen to use all means at its disposal to contain the coronavirus outbreak, but it may well use it to harden, strengthen and demonstrate the growing capabilities of the most sophisticated surveillance state the world has ever known. Secondly, of course, it demonstrates the proliferation of sophisticated, smaller unmanned vehicles and platforms as a tool for mass surveillance – as well as outright social control. That’s a trend likely to be seen well beyond the world’s more authoritarian states, and it is that one democracies will need to have a much more public and accessible conversation about than they have managed so far. LAW ENFORCEMENT The uses for often already overstretched law enforcement and other security services are obvious. On Sunday, two people were stabbed in London by a recently released extremist, raising questions about the ability of authorities to keep track of individuals deemed risky. Automated technology solutions such as facial recognition software make that easier, but clearly also unsettle many. In the United States, several towns and cities including Oakland and Berkeley in California and Cambridge, Massachusetts, have outright banned the use of facial recognition technology by law enforcement. Other states and locations are considering tighter controls – but across much of the rest of the United States and Western world, surveillance technology continues to be rolled out, sometimes largely unnoticed and unchallenged. Much larger unmanned weapons-carrying drones have been at the centre of U.S. operations in the Middle East and beyond for years. Where the United States has led, China has often followed. Beijing is a major supplier of large armed drones to countries like Saudi Arabia and the United Arab Emirates, frustrated by limits on U.S. drone exports. The next revolution, however, looks to involve much smaller drones that while less lethal, can also be a much more intrusive presence. In August last year, the U.S. Defense Advanced Research Project Agency demonstrated a drone swarm at Fort Benning, Georgia, that used largely off-the-shelf technology to autonomously locate, find and monitor a specified object in a particular building – a city hall – in a U.S. military training complex. The aim is for swarms of up to 250 devices to be able to operate largely independently or controlled by a single operator, providing a level of mobile surveillance and coordination not previously available. DRONE TECHNOLOGY For now, the Chinese example demonstrates the limitations of that technology. Beijing has been pouring resources into drone and surveillance technology for decades. In 2018, the South China Morning Post reported that included developing flocks of unmanned aircraft designed to resemble birds such as doves in both appearance and movement. Such devices, it said, have already seen service along China’s borders and in its north-western Xinjiang province, where a crackdown on Muslim minority ethnic Uighurs has long been a testbed for Beijing’s surveillance state. These devices, it said, have proved convincing enough that they can be flown over flocks of sheep – normally very sensitive to aircraft – without the animals determining their true nature. In the long run, Beijing almost certainly wants to match that technology with its other surveillance tools – widespread static cameras, and a colossal facial identification database the state has been building since 2015. Other tools reportedly developed by China include systems to identify people by their distinctive walking gaits. The surveillance drones in the Global Times videos, however, are clearly under the control of individual human operators, their voices broadcast by loudspeaker.  Another video from Jiangsu province, eastern China, showed a policewoman using a drone to check passengers at a crossing wearing masks. “The handsome guy who is on the phone, where is your mask? Put it on please,” she said through its loudspeaker. “The girls who were eating food while walking, put on your masks please. You can eat when you arrive at home.” It’s a reminder that for all its investment in technology, like previous mass surveillance states such as East Germany China remains dependent on using humans to watch other humans. That, however, is changing very quickly. Artificial intelligence algorithms, combined with the colossally larger data trails humans already leave, has already proved a game changer when it comes to targeted advertising. Numberplate recognition cameras mean most vehicles in most countries have their locations recorded sometimes dozens of times a day. According to the “Global Times”, China’s citizens viewed the Chengdu footage as useful entertainment while they stayed inside following the cancellation of Lunar New Year festivities. Whether that is true is another question – but it’s an issue the rest of the world may also find itself grappling with sooner than it thinks. *** Peter Apps is a writer on international affairs, globalisation, conflict and other issues. He is the founder and executive director of the Project for Study of the 21st Century; PS21, a non-national, non-partisan, non-ideological think tank. Paralysed by a war-zone car crash in 2006, he also blogs about his disability and other topics. He was previously a reporter for Reuters and continues to be paid by Thomson Reuters. Since 2016, he has been a member of the British Army Reserve and the UK Labour Party, and is an active fundraiser for the party. (Editing by Giles Elgood)Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",16,22.65722816409553,0.112
0,AMD,"July 3, 2017","                BRIEF-Advanced Micro Devices appoints Abhi Talwalkar to board - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Regulatory NewsJuly 3, 2017 /  1:13 PM / 3 years agoBRIEF-Advanced Micro Devices appoints Abhi Talwalkar to board1 Min ReadJuly 3 (Reuters) - Advanced Micro Devices Inc * AMD appoints Abhi Y. Talwalkar to board of directors Source text for Eikon: Further company coverage:Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",23,21.481487179398627,0.052
0,AMD,"March 6, 2018","                BRIEF-Advanced Micro Devices Says ‍​CEO's 2017 Total Compensation Was $10.9 Mln Vs. $11.7 Mln - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Regulatory NewsMarch 6, 2018 /  10:47 PM / 2 years agoBRIEF-Advanced Micro Devices Says ‍​CEO's 2017 Total Compensation Was $10.9 Mln Vs. $11.7 Mln1 Min ReadMarch 6 (Reuters) - Advanced Micro Devices Inc: * ADVANCED MICRO DEVICES INC - ‍​CEO LISA SU'S 2017 TOTAL COMPENSATION WAS $10.9 MILLION VERSUS $11.7 MILLION - SEC FILING Source text: (bit.ly/2oYzwlc) Further company coverage:Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",1,4.081628681073312,0.065
0,AMD,"March 8, 2017","                BRIEF-Advanced Micro Devices CEO Lisa Su's 2016 compensation was $11.7 mln vs. $7.4 mln in 2015 - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Technology, Media and TelecommunicationsMarch 8, 2017 /  10:18 PM / 3 years agoBRIEF-Advanced Micro Devices CEO Lisa Su's 2016 compensation was $11.7 mln vs. $7.4 mln in 20151 Min ReadMarch 8 (Reuters) - Advanced Micro Devices Inc: * Advanced Micro Devices Inc - CEO Lisa Su's 2016 compensation was $11.7 million versus $7.4 million in 2015 - sec filing  Source text (bit.ly/2nfI3O2) Further company coverage:Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",26,10.741301419149591,0.056
0,AMD,"November 1, 2017","                BRIEF-Advanced Micro Devices Inc says ‍increased size of board from nine directors to ten directors ​ - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Regulatory NewsNovember 1, 2017 /  1:13 PM / 3 years agoBRIEF-Advanced Micro Devices Inc says ‍increased size of board from nine directors to ten directors ​1 Min ReadNov 1 (Reuters) - Advanced Micro Devices Inc * Advanced Micro Devices Inc says ‍increased size of board from nine directors to ten directors - SEC filing ​ Source text (bit.ly/2h0sDja) Further company coverage: (Bangalore.newsroom@thomsonreuters.com)Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",6,11.574073869668574,0.058
0,AMD,"July 25, 2017","                BRIEF-Advanced Micro Devices sees Q3 non-GAAP gross margin about 34 pct - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Regulatory NewsJuly 25, 2017 /  8:45 PM / 3 years agoBRIEF-Advanced Micro Devices sees Q3 non-GAAP gross margin about 34 pct1 Min ReadJuly 25 (Reuters) - Advanced Micro Devices Inc * Advanced Micro Devices Inc sees Q3 non-GAAP gross margin to be approximately 34% * On a GAAP basis, revenue was $1.22 billion in Q2, up 19 percent year-over-year * Advanced Micro Devices Inc- ‍for FY 2017 we expect inventory to be down from end of 2016​ * AMD now expects annual revenue to increase by a mid to high-teens percentage * Advanced Micro Devices Inc -for  FY 2017 co expects capital expenditures to be approximately $140 million‍​ * FY2017 revenue view $4.82 billion — Thomson Reuters I/B/E/S Source text for Eikon: Further company coverage:Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",1,4.606666109286484,0.072
0,AMD,"April 25, 2018","                BRIEF-Advanced Micro Devices Reports Q1 Adj. Earnings Per Share Of $0.11 - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Regulatory NewsApril 25, 2018 /  8:37 PM / 2 years agoBRIEF-Advanced Micro Devices Reports Q1 Adj. Earnings Per Share Of $0.112 Min ReadApril 25 (Reuters) - Advanced Micro Devices Inc: * AMD REPORTS FIRST QUARTER 2018 FINANCIAL RESULTS * Q1 NON-GAAP EARNINGS PER SHARE $0.11 * Q1 EARNINGS PER SHARE $0.08 * Q1 REVENUE $1.65 BILLION VERSUS I/B/E/S VIEW $1.57 BILLION * Q1 EARNINGS PER SHARE VIEW $0.09 — THOMSON REUTERS I/B/E/S * QTRLY COMPUTING AND GRAPHICS SEGMENT REVENUE WAS $1.12 BILLION, UP 95 PERCENT YEAR-OVER-YEAR * QTRLY GROSS MARGIN WAS 36 PERCENT, UP 4 PERCENTAGE POINTS YEAR-OVER-YEAR AND 2 PERCENTAGE POINTS QUARTER-OVER-QUARTER * QTRLY ENTERPRISE, EMBEDDED AND SEMI-CUSTOM (EESC) SEGMENT REVENUE WAS $532 MILLION, DOWN 12 PERCENT YEAR-OVER-YEAR * FOR Q2 OF 2018, AMD EXPECTS REVENUE TO BE APPROXIMATELY $1.725 BILLION, PLUS OR MINUS $50 MILLION * QTRLY  ENTERPRISE, EMBEDDED AND SEMI-CUSTOM (EESC) SEGMENT REVENUE WAS $532 MILLION, DOWN 12 PERCENT YEAR-OVER-YEAR * FOR Q2 OF 2018, AMD EXPECTS NON-GAAP GROSS MARGIN OF APPROXIMATELY 37 PERCENT * Q2 REVENUE VIEW $1.57 BILLION — THOMSON REUTERS I/B/E/S Source text for Eikon: Further company coverage:Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",29,38.105044229961024,0.075
0,AMD,"March 21, 2017","                BRIEF-Advanced Micro Devices, units, ATI Technologies entered into 5th amendment amended and restated loan and security agreement dated April 14, 2015 - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsIndiaSouth AsiaTVMoreIndia Regulatory NewsMarch 21, 2017 /  9:11 PM / 3 years agoBRIEF-Advanced Micro Devices, units, ATI Technologies entered into 5th amendment amended and restated loan and security agreement dated April 14, 20151 Min ReadMarch 21 (Reuters) - Advanced Micro Devices Inc * Advanced Micro Devices - co, units, ATI Technologies ULC entered into fifth amendment amended and restated loan and security agreement dated April 14, 2015 * Advanced Micro Devices - fifth amendment extends total senior secured asset based line of credit maturity date from April 14, 2020 to March 21, 2022 * Advanced Micro - fifth amendment reduces amount of line of credit that will be available for issuance for letters of credit from $75 million to $45 million  Source text: (bit.ly/2naVoKl) Further company coverage:Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",13,5.9334346353541285,0.199
