date,ticker,content,time_delta,pct_change
"December 19, 2018",aapl,"                100 days to Brexit, EU tells London: financiers on their own without a deal - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsWorldPoliticsTVMoreUnited States World NewsDecember 19, 2018 /  9:01 AM / 2 years ago100 days to Brexit, EU tells London: financiers on their own without a dealGuy Faulconbridge, Huw Jones4 Min ReadLONDON (Reuters) - With just 100 days until Brexit, the EU’s executive cautioned that most banking, insurance and other financial firms in Britain would be cut off from the European Union if there is no divorce deal. Prime Minister Theresa May’s failure to find a deal the British parliament will approve means the world’s fifth largest economy now faces three main choices: agreeing a last-minute deal, halting Brexit or leaving the EU without a deal. No deal means there would be no transition so the exit, set in law as 2300 GMT on March 29, would be abrupt. Bank of England Governor Mark Carney said leaving the EU with no transition could be akin to the 1970s oil shock. With fears growing that the political brinkmanship in London could lead, as May has warned, to Britain leaving without a deal, businesses and the EU’s executive ramped up planning for such an eventuality. “Businesses of all sizes are reaching the point of no return, with many now putting in place contingency plans that are a significant drain of time and money,” the heads of Britain’s five biggest business lobby groups said. European Commission President Jean-Claude Juncker said a disorderly Brexit would be an “absolute catastrophe”. Related CoverageIreland unveils 'stark' contingency plans for no-deal BrexitIreland may ask for derogations from some EU rules in no-deal BrexitSee more stories The world’s biggest corporates, ranging from Apple AAPL.0 and Toyota (7203.T) to J.P. Morgan (JPM.N) and Goldman Sachs (GS.N), have cautioned that Brexit could complicate their businesses. The euro notched up its biggest daily rise against the pound in more than a week on Wednesday. “The government is playing a very hardball game ... as it delays the Brexit vote until the New Year, which is curtailing the debate over May’s plan and effectively giving little time for alternatives to be found,” Scotiabank said in a note. May has delayed a vote on her deal until mid-January, prompting some lawmakers to accuse her of trying to force parliament into backing her by running down the clock as the March 29 exit day approaches. NO DEAL BREXIT? The European Union set out short-term measures to limit disruption to air traffic, financial services and trade if Britain left without a deal. Demonstrators hold EU and Union flags during an anti-Brexit protest opposite the Houses of Parliament in London, Britain, December 17, 2018. REUTERS/Toby MelvilleEvery shipment of live animals or animal products from Britain would face controls at EU borders and Britons would lose the right to travel with their pets using EU pet passports. Pro-Europeans fear Britain’s exit will weaken the West as it grapples with Donald Trump’s unpredictable U.S. presidency and growing assertiveness from Russia and China. They say it weakens Europe’s economy and removes one of its only two nuclear powers. Brexit supporters say while there may be some short-term disruption, in the long-term the UK will thrive outside what they cast as a doomed experiment in German-dominated unity and excessive debt-funded welfare spending. Without a deal, the United Kingdom would trade with the European Union under World Trade Organization terms. But without a transition, London - which ranks alongside New York as one of the world’s top two global financial centers - would be cut off from the rest of the EU. About six trillion euros, or 37 percent, of Europe’s financial assets are managed in the UK capital, almost twice the amount of its nearest rival, Paris. In addition, London dominates Europe’s 5.2 trillion euro investment banking industry. New York is bigger, but centered on American markets. Slideshow (2 Images)As companies and the EU set out the dislocation they feared from an abrupt Brexit, the British parliament descended into uproar when opposition Labour Party leader Jeremy Corbyn appeared to mouth the words “stupid woman” about May. The Labour Party said Corbyn used the words “stupid people”. The British government set out the biggest overhaul of its immigration policy in decades on Wednesday, ending special treatment for European Union nationals while promising to give businesses time to adapt to its post-Brexit plans. Additional reporting by Philip Blenkinsop and Robin Emmott in Brussels and Kylie MacLellan and Andrew MacAskill in London; Editing by Janet LawrenceOur Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",14,-1.845982492367523
"May 15, 2020",aapl,"                Foxconn quarterly profit hits two-decade low, sees growth from post-virus lifestyles - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsWorldPoliticsTVMoreUnited States Technology NewsMay 15, 2020 /  6:34 AM / 2 months agoFoxconn quarterly profit hits two-decade low, sees growth from post-virus lifestylesYimou Lee, Ben Blanchard3 Min ReadTAIPEI (Reuters) - Foxconn’s (2317.TW) first-quarter profit plunged to its lowest in two decades, all but wiped out, after the coronavirus pandemic forced the Taiwanese firm to suspend manufacturing operations in China and knocked demand from customers including Apple Inc AAPL.0. FILE PHOTO: A motorcyclist rides past the logo of Foxconn, the trading name of Hon Hai Precision Industry, in Taipei, Taiwan March 30, 2018. REUTERS/Tyrone Siu/File PhotoBut the world’s largest contract electronics manufacturer, formally called Hon Hai Precision Industry Co Ltd, said the worst of the virus outbreak for the company was over.  New growth was to be found in the work-from-home lifestyles being adopted around the world even if the outlook for smartphone and other consumer electronics demand remained bleak, it said.  “Hon Hai will stabilize in the second quarter,” Foxconn said in a statement, adding that all of its main factories in China have now resumed normal operations.  Net profit for January-March slumped 90% to T$2.1 billion ($70.3 million) from a year earlier - the lowest level since the first quarter of 2000 and well short of a Refinitiv consensus estimate of T$8.88 billion. Revenue declined 12%. For the second-quarter, the company expects revenue will show double-digit percentage growth from January-March although it will still likely mark a single-digit decline from the same period a year earlier. “Telecommuting, online entertainment and new lifestyles have brought us new growth momentum,” Foxconn Chairman Liu Young-way told an investor teleconference. He added that its enterprise and computing units are expected to see a yearly revenue growth of more than 10% and more than 15% respectively in the current quarter. The exception is its consumer electronics division, much of which is smartphones. The division is forecast to post a 15% yearly decline in sales as the virus is set to have “an enormous” impact on demand. In the first quarter, the division accounted for 42% of revenue. “For consumer electronic products, because everyone is staying at home, naturally it affects consumers’ purchasing power and such power might take a very long time to recover,” he said. Highlighting that weak demand, first-quarter smartphone shipments in China tumbled 20%, its largest decline ever, data from market researcher IDC showed this month. Taiwan-based research firm TrendForce said last month it expects global smartphone production to slump a record 16.5% to 287 million phones in the June quarter from a year earlier as the coronavirus muzzles demand. Liu declined to given an earnings outlook for the second half or the full year, saying the pandemic had made forecasting too uncertain. Foxconn shares closed 1.4% lower ahead of the results on Friday, versus a 0.3% gain for the broader market .TWII. They have lost 15% for the year to date.     Reporting by Yimou Lee and Ben Blanchard; Writing by Sayantani Ghosh; Editing by Edwina GibbsOur Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",26,14.666408675715987
"August 31, 2018",aapl,"                Wall Street mixed as U.S.-Canada trade talks end - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsWorldPoliticsTVMoreUnited States Business NewsAugust 31, 2018 /  11:45 AM / 2 years agoWall Street mixed as U.S.-Canada trade talks endStephen Culp4 Min ReadNEW YORK (Reuters) - The S&P 500 ended flat while the Dow edged down and the Nasdaq closed higher in light trading on Friday as Canada and the United States concluded trade talks without resolution ahead of the Labor Day weekend. Capping a low-volume, late-summer week marked by tariff-related volatility, all three major U.S. indexes posted net gains for the period. The indexes were also up for the month of August, with the Nasdaq posting its largest monthly gain since January. Talks between Canada the United States to renegotiate the North American Free Trade Agreement (NAFTA) ended on a sour note as the two sides were unable to reach a deal, according to the Wall Street Journal.  In recent days trade jitters abated as Mexico and the United States reached a bilateral deal, but re-emerged later in the week following a report that U.S. President Donald Trump is prepared to impose tariffs on an additional $200 billion of Chinese imports as soon as next week. “We may not have a replacement for NAFTA as quickly as we thought,” said John Toohey, head of equities at USAA in San Antonio. “That initial optimism that existed at the beginning of the week, that good news scenario is off the table.”  Amazon.com’s shares (AMZN.O) continued to inch upward, rising 0.5 percent as investors watch the company close in on its $1 trillion market share milestone. Apple Inc AAPL. closed up 1.2 percent, reaching a new closing high for the fifth straight session. A trader works inside a post on the floor of the New York Stock Exchange (NYSE) in New York, U.S., August 31, 2018. REUTERS/Brendan McDermidThe Dow Jones Industrial Average .DJI fell 22.1 points, or 0.09 percent, to 25,964.82, the S&P 500 .SPX gained 0.39 points, or 0.01 percent, to 2,901.52 and the Nasdaq Composite .IXIC added 21.17 points, or 0.26 percent, to 8,109.54. Of the 11 major sectors in the S&P 500, five closed lower. Coca-Cola Co (KO.N) agreed to buy the coffee chain Costa from Britain’s Whitbread PLC (WTB.L) for $5.1 billion.. Its shares dipped 0.8 percent. Tesla Inc (TSLA.O) had a fifth consecutive decline following news that fund manager BlackRock voted in favor of replacing Elon Musk with an independent chairman. Gun maker American Outdoor Brands (AOBC.O) was the top percentage gainer on the Nasdaq. The stock soared 43.6 percent after its upbeat earnings report. Peer Sturm Ruger & Co (RGR.N) shares jumped 7.3 percent. Chipotle Mexican Grill CNG.N shares extended their loss, dipping 1.8 percent after William Ackman’s Pershing Square cut its stake in the burrito chain. Ford Motor Co (F.N) dropped 2.3 percent after scrapping a plan to sell a Chinese-made small vehicle in the United States due to tariff concerns. Slideshow (3 Images)Advancing issues outnumbered declining ones on the NYSE by a 1.16-to-1 ratio; on Nasdaq, a 1.60-to-1 ratio favored advancers. The S&P 500 posted 34 new 52-week highs and 3 new lows; the Nasdaq Composite recorded 121 new highs and 29 new lows.   Volume on U.S. exchanges was 5.77 billion shares, compared with the 6.08 billion average for the full session over the last 20 trading days.     Reporting by Stephen Culp; Editing by Dan GreblerOur Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",4,0.32069398228712237
"January 30, 2019",aapl,"                iPhone suppliers rise after Apple's quarterly report - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsWorldPoliticsTVMoreUnited States Technology NewsJanuary 30, 2019 /  12:12 AM / a year agoiPhone suppliers rise after Apple's quarterly report1 Min ReadFILE PHOTO - A police officer is silhouetted against the Apple logo in Grand Central Terminal in the Manhattan borough of New York January 13, 2015.      REUTERS/Carlo Allegri/File Photo** Shares of Apple suppliers up in extended trade after Apple’s quarterly results and guide prove not as bad as some expected ** Micron up 1.7 percent, Broadcom up 1.7 percent, Skyworks Solutions up 2 percent, Qorvo 1 percent higher ** AAPL up 5.7 percent after the bell after co reported quarterly revenue of $84.3 billion, above reduced forecast of $84 billion on Jan 2, when the co warned of weakness in China ** At current level of $163.57, AAPL has now more than recovered from the steep selloff caused by its revenue warning ** AAPL said on Tuesday its current-quarter revenue would be between $55 billion and $59 billion, largely below consensus estimate of $58.8 billion, according to IBES data from Refinitiv     ** As well, S&P 500 futures trading 0.26 percent higher, pointing to positive open in Wednesday’s sessionOur Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",28,5.821479647314675
"June 3, 2019",aapl,"                Apple dips on news of DoJ antitrust probe - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsWorldPoliticsTVMoreUnited States Technology NewsJune 3, 2019 /  6:48 PM / a year agoApple dips on news of DoJ antitrust probe1 Min ReadFILE PHOTO: The logo of Apple company is seen outside an Apple store in Paris, France, April 10, 2019. REUTERS/Christian HartmannShares of Apple Inc were down nearly 3% in afternoon trading on Mon following a Reuters report that the U.S. Dept of Justice was given jurisdiction to include the iPhone maker as part of broader antitrust probe. Stock has since pared loss, last down 1.0% at $173.29. Regulatory risks have weighed on other members of the so called FAANG group of momentum stocks; Facebook Inc is down 6.9%, Amazon.com off 4.4%, Google parent Alphabet Inc sliding 6.4%. The broader Nasdaq was last down  1.3%, with FAANGs weighing heaviest. Communications services and tech sectors were the heaviest drag on the S&P 500, down 2.7% and 1.5%, respectively. So far this year, AAPL has gained ~10%, slightly underperforming the IXIC’s ~11% advance. Reporting by Stephen CulpOur Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",29,16.982107419231657
"August 3, 2018",aapl,"                BUZZ-U.S. stocks weekly: Sweet Apple, sour grapes - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsWorldPoliticsTVMoreUnited States Funds NewsAugust 3, 2018 /  8:21 PM / 2 years agoBUZZ-U.S. stocks weekly: Sweet Apple, sour grapes2 Min Read    ** Along with Apple's tasty price action, S&P 500 gains 0.8 pct, rises for a 5th straight week. At the sametime, however, the market is ripe for disappointment amidsimmering trade tensions    ** Indeed, AAPL tops $1 trln valuation, butwill it be enough to sweeten a souring Nasdaq breadthmeasure    ** This as the DJI also gains for a 5th week,while bulls and bears wrestle on the SPX charts    ** Small caps try to bulk up again, but stockcorrelations may struggle to fall much further    ** In the end, most sectors finish up; defensives provedelicious, while energy and industrials, a bit rotten. Value'sattempt to perk up vs growth proving short-lived    ** Healthcare gains 2.1 pct. Group hits 6-monthhigh. Pfizer provides big boost on earnings, and Illumina hits record high on itsprofit beat    ** Staples rally 1.8 pct. Sector digs out of thedoldrums as packaged food makers rise on KraftHeinz's Q2 beat. And despite reportingdisappointing qtrly sales, Procter & Gamble rallies ~2pct    ** Tech up 1.2 pct. AAPL advances ~9 pct as qtrlyresults far surpassed Wall St targets.Action helps NYSE Fang+TM Index show its teeth again    ** Cons disc up 0.2 pct. Best SPX stock DishNetworks rallies ~13 pct on its beats.Though Wynn Resorts, MGM results keep pressureon casino stocks    ** Financials lose 0.1 pct. Fed keeps rates on hold, and then with soft job growth, U.S.10-Year Treasury Yield can't hold 3 pct.Nevertheless, S&P Banks Index gains 0.9 pct    ** Industrials fall 0.2 pct. At first group jumpson Caterpillar results, hopes forU.S./China trade talks. But then another salvosinks the sector. Boeing down >3 pct    ** Energy loses 1.8 pct. Oil stocks fall on supplyrise, trade war concerns. Noble Energy off~7 pct    ** SPX sector YTD performance through Thurs: reut.rs/2M0KsMt    ** Meanwhile, Tesla surges >17 pct, its best risein >5 years, as investors embrace cash comments, Musk apology          Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",28,9.442761128391787
"August 6, 2018",aapl,"                RPT-BUZZ-U.S. stocks weekly: Sweet Apple, sour grapes - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsWorldPoliticsTVMoreUnited States Funds NewsAugust 6, 2018 /  12:13 PM / 2 years agoRPT-BUZZ-U.S. stocks weekly: Sweet Apple, sour grapes3 Min Read (Repeats from Friday, no changes to text. Updates chart.)    ** Along with Apple's tasty price action, S&P 500 gains 0.8 pct, rises for a 5th straight week. At the sametime, however, the market is ripe for disappointment amidsimmering trade tensions    ** Indeed, AAPL tops $1 trln valuation, butwill it be enough to sweeten a souring Nasdaq breadthmeasure    ** This as the DJI also gains for a 5th week,while bulls and bears wrestle on the SPX charts    ** Small caps try to bulk up again, but stockcorrelations may struggle to fall much further    ** In the end, most sectors finish up; defensives provedelicious, while energy and industrials, a bit rotten. Value'sattempt to perk up vs growth proving short-lived    ** Healthcare gains 2.1 pct. Group hits 6-monthhigh. Pfizer provides big boost on earnings, and Illumina hits record high on itsprofit beat    ** Staples rally 1.8 pct. Sector digs out of thedoldrums as packaged food makers rise on KraftHeinz's Q2 beat. And despite reportingdisappointing qtrly sales, Procter & Gamble rallies ~2pct    ** Tech up 1.2 pct. AAPL advances ~9 pct as qtrlyresults far surpassed Wall St targets.Action helps NYSE Fang+TM Index show its teeth again    ** Cons disc up 0.2 pct. Best SPX stock DishNetworks rallies ~13 pct on its beats.Though Wynn Resorts, MGM results keep pressureon casino stocks    ** Financials lose 0.1 pct. Fed keeps rates on hold, and then with soft job growth, U.S.10-Year Treasury Yield can't hold 3 pct.Nevertheless, S&P Banks Index gains 0.9 pct    ** Industrials fall 0.2 pct. At first group jumpson Caterpillar results, hopes forU.S./China trade talks. But then another salvosinks the sector. Boeing down >3 pct    ** Energy loses 1.8 pct. Oil stocks fall on supplyrise, trade war concerns. Noble Energy off~7 pct    ** SPX sector YTD performance through Fri: reut.rs/2M67mC3    ** Meanwhile, Tesla surges >17 pct, its best risein >5 years, as investors embrace cash comments, Musk apology           Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",29,9.226571296866384
"August 31, 2018",aapl,"                BUZZ- U.S. stocks weekly: Anticipation - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsWorldPoliticsTVMoreUnited States Funds NewsAugust 31, 2018 /  8:24 PM / 2 years agoBUZZ- U.S. stocks weekly: Anticipation2 Min Read** S&P 500 finishes the week up 0.9 pct even as investors mull trade uncertainties ** Still, SPX charts suggest keeping seatbelts fastened . This with the DJI also showing sputtering thrust ** And although Nasdaq has been on a run, it may be overheating. This as the market’s titans have been more like speedboats than supertankers, the NYSE FANG+TM Index has been lagging and small caps are back in big brother’s shadow ** Most sectors advance; tech and consumer discretionary surge, while staples and utilities slip. Value still stumbling vs growth ** Tech up 2 pct. Apple rises >5 pct after co confirms Sept 12 date for expected new iPhone unveiling and Buffett says Berkshire Hathaway added to its already huge stake. Though Electronic Arts is biggest sector loser down 12 pct as videogame co delays “Battlefield V” launch by 4 weeks; rival Activision Blizzard down ~3 pct ** Consumer Discretionary up 1.8 pct. Amazon.com surpasses $2,000 in renewed push to join AAPL in the $1 trln market cap club. But worst SPX performer Dollar Tree drops ~14 pct as discount retailer misses comp sales estimates and says looking at suppliers outside China to mitigate potential tariff impacts ** Consumer Staples dips 0.5 pct. Coca-Cola off >2 pct as co takes plunge into coffee with $5.1 bln Costa deal ** SPX sector YTD performance through Thurs: reut.rs/2LM4JS1 ** Meanwhile, UBS strategists say political gridlock is good as SPX has seen outsized returns around midterm electionsOur Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",4,0.32069398228712237
"September 4, 2018",aapl,"                RPT-BUZZ- U.S. stocks weekly: Anticipation - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsWorldPoliticsTVMoreUnited States Funds NewsSeptember 4, 2018 /  11:07 AM / 2 years agoRPT-BUZZ- U.S. stocks weekly: Anticipation2 Min Read(Repeats from Friday, no changes to text. Updates chart) ** S&P 500 finishes the week up 0.9 pct even as investors mull trade uncertainties ** Still, SPX charts suggest keeping seatbelts fastened . This with the DJI also showing sputtering thrust ** And although Nasdaq has been on a run, it may be overheating. This as the market’s titans have been more like speedboats than supertankers, the NYSE FANG+TM Index has been lagging and small caps are back in big brother’s shadow ** Most sectors advance; tech and consumer discretionary surge, while staples and utilities slip. Value still stumbling vs growth ** Tech up 2 pct. Apple rises >5 pct after co confirms Sept 12 date for expected new iPhone unveiling and Buffett says Berkshire Hathaway added to its already huge stake. Though Electronic Arts is biggest sector loser down 12 pct as videogame co delays “Battlefield V” launch by 4 weeks; rival Activision Blizzard down ~3 pct ** Consumer Discretionary up 1.8 pct. Amazon.com surpasses $2,000 in renewed push to join AAPL in the $1 trln market cap club. But worst SPX performer Dollar Tree drops ~14 pct as discount retailer misses comp sales estimates and says looking at suppliers outside China to mitigate potential tariff impacts ** Consumer Staples dips 0.5 pct. Coca-Cola off >2 pct as co takes plunge into coffee with $5.1 bln Costa deal ** SPX sector YTD performance through Fri: reut.rs/2PB6weW ** Meanwhile, UBS strategists say political gridlock is good as SPX has seen outsized returns around midterm electionsOur Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",29,1.6246307163913245
"July 24, 2018",aapl,"                Reuters Leadership - ReutersDiscover Thomson ReutersFinancialGovernment SolutionsLegalReuters News AgencyRisk Management SolutionsTax & AccountingBlog: Answers OnInnovation @ Thomson ReutersDirectory of sitesLoginContactSupportBusinessMarketsWorldPoliticsTVMoreUnited States Big Story 10July 24, 2018 /  8:08 PM / 2 months agoReuters Leadership3 Min ReadMichael FriedenbergPresident Stephen J. AdlerEditor-in-Chief Josh LondonChief Marketing Officer Michael YoungChief Technology Officer Sue BrooksManaging Director, Product Development & Agency Strategy Reg ChuaGlobal Managing Editor, Operations Simon HutsonManaging Director, Consumer Alphonse HardelGlobal Head of Business Development and Strategy Editorial Leadership: Alessandra GalloniGlobal Managing Editor, News Planning and Creation Simon RobinsonGlobal Managing Editor, Newsroom Tiffany WuGlobal Managing Editor, Editing, Curation and Publishing Alix FreedmanGlobal Editor, Ethics and Standards John PullmanGlobal Head of Visuals Michael WilliamsGlobal Enterprise Editor Jane BarrettEditor, Media News Strategy Rob CoxEditor, Breakingviews Jonathan LeffEditor, Financial News Strategy Dan FlynnRegional Editor, Latin America Kevin KrolickiRegional Editor, Asia Samia NakhoulRegional Editor, Middle East Alex ZavisRegional Editor, Sub-Saharan Africa Mark BendeichRegional Editor, Europe Kieran MurrayRegional Editor, US/Canada Our Standards:The Thomson Reuters Trust Principles.0 : 0narrow-browser-and-phonemedium-browser-and-portrait-tabletlandscape-tabletmedium-wide-browserwide-browser-and-largermedium-browser-and-landscape-tabletmedium-wide-browser-and-largerabove-phoneportrait-tablet-and-aboveabove-portrait-tabletlandscape-tablet-and-abovelandscape-tablet-and-medium-wide-browserportrait-tablet-and-belowlandscape-tablet-and-belowAppsNewslettersAdvertise with UsAdvertising GuidelinesCookiesTerms of UsePrivacyDo Not Sell My Personal InformationAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2020 Reuters. All Rights Reserved.",24,12.735752244069786
